Prefecture,Year,Population,man,woman
北海道,1920,2359183,1244322,1114861
北海道,1925,2498679,1305473,1193206
北海道,1930,2812335,1468540,1343795
北海道,1935,3068282,1593845,1474437
北海道,1940,3272012,1695083,1576929
北海道,1945,3518389,1738623,1779766
北海道,1950,4295567,2169393,2126174
北海道,1955,4773087,2428833,2344254
北海道,1960,5039206,2544753,2494453
北海道,1965,5171800,2583159,2588641
北海道,1970,5184287,2552806,2631481
北海道,1975,5338206,2621285,2716921
北海道,1980,5575989,2737089,2838900
北海道,1985,5679439,2766296,2913143
北海道,1990,5643647,2722988,2920659
北海道,1995,5692321,2736844,2955477
北海道,2000,5683062,2719389,2963673
北海道,2005,5627737,2675033,2952704
北海道,2010,5506419,2603345,2903074
北海道,2015,5381733,2537089,2844644
